Nbr,Paper,St type,Start,End type,End,L15 st,L15 end,D_G,D_N,D_H3,D_H4,D_Other,GHG/T,M/O,Title,Abstract,Authors,Year,Journal,Volume,Issue,Pages (or article number),Sub.date,Pub.date,DOI,Link,Detection,Attribution,Impacts,Future,Language
133,Santer et al. 2015,5,1998,13,2014,,,,,,,"RSS, ERSST",,,Observed multivariable signals of late 20th and early 21st century volcanic activity,"The relatively muted warming of the surface and lower troposphere since 1998 has attracted considerable attention. One contributory factor to this ?warming hiatus? is an increase in volcanically induced cooling over the early 21st century. Here we identify the signals of late 20th and early 21st century volcanic activity in multiple observed climate variables. Volcanic signals are statistically discernible in spatial averages of tropical and near-global SST, tropospheric temperature, net clear-sky short-wave radiation, and atmospheric water vapor. Signals of late 20th and early 21st century volcanic eruptions are also detectable in near-global averages of rainfall. In tropical average rainfall, however, only a Pinatubo-caused drying signal is identifiable. Successful volcanic signal detection is critically dependent on removal of variability induced by the El Ni§o?Southern Oscillation.","Benjamin D. Santer, Susan Solomon, CÇline Bonfils, Mark D. Zelinka, Jeffrey F. Painter, Francisco Beltran, John C. Fyfe, Gardar Johannesson, Carl Mears, David A. Ridley, Jean-Paul Vernier, Frank J. Wentz",2015,GRL,42,2,500?509,29-10-14,20-01-15,10.1002/2014GL062366,http://onlinelibrary.wiley.com/doi/10.1002/2014GL062366/full,,1,,,En
138,Gleisner et al. 2015,5,1998,13,2014,,,1,1,,1,"JMA, UAH, RSS, ROM SAF",,,Recent global warming hiatus dominated by low-latitude temperature trends in surface and troposphere data,"Over the last 15 years, global mean surface temperatures exhibit only weak trends. Recent studies have attempted to attribute this so called temperature hiatus to several causes, amongst them incomplete sampling of the rapidly warming Arctic region. We here examine zonal mean temperature trends in satellite-based tropospheric data sets (based on data from (Advanced) Microwave Sounding Unit and Global Navigation Satellite System Radio Occultation instruments) and in global surface temperatures (HadCRUT4). Omission of successively larger polar regions from the global mean temperature calculations, in both tropospheric and surface data sets, shows that data gaps at high latitudes cannot explain the observed differences between the hiatus and the prehiatus period. Instead, the dominating causes of the global temperature hiatus are found at low latitudes. The combined use of several independent data sets, representing completely different measurement techniques and sampling characteristics, strengthens the conclusions.","Hans Gleisner, Peter Thejll, Bo Christiansen, Johannes K. Nielsen",2015,GRL,42,2,510-517,20-11-14,29-01-15,10.1002/2014GL062596,http://onlinelibrary.wiley.com/doi/10.1002/2014GL062596/abstract,,1,,,En
140,Arora et al. 2016,5,2002,7,2012,,,,,,,"HadISST, TMI AMSR-E",,,Role of Indian Ocean SST variability on the recent global warming hiatus,"Previous studies have shown a slowdown in the warming rate of the annual mean global surface temperature in the recent decade and it is referred to as the hiatus in global warming. Some recent studies have suggested that the hiatus in global warming is possibly due to strong cooling in the tropical Pacific. This study investigates the possible role of the Indian Ocean warming on the tropical Pacific cooling. Despite the continued rise in sea surface temperature (SST) over the tropical Indian Ocean, SST over the tropical Pacific has shown a cooling trend in the recent decade (2002 ? 2012). It is well known fact that the Indian Ocean and the Pacific Ocean are strongly coupled to each other and the Indian Ocean basin wide warming is triggered by El Ni§o on interannual time scale. However, in the recent decade, this relationship is weakening. The recent Indian Ocean warming is triggering a Matsuno-Gill type response in the atmosphere by generating anomalous cyclonic circulations on either side of equator over the tropical Indian Ocean and anomalous easterlies along the tropical Pacific Ocean. These anomalous easterlies result in Ekman divergence in the equatorial Pacific and produce upwelling Kelvin waves, cools the tropical Pacific and therefore indirectly contributes to the hiatus in global warming.","Anika Arora, Suryachandra A. Rao, R. Chattopadhyay, Tanmoy Goswami, Gibies George, C.T. Sabeerali",2016,Global and Planetary Change,143,,21-30,16-09-15,24-05-16,10.1016/j.gloplacha.2016.05.009,http://www.sciencedirect.com/science/article/pii/S0921818115300412,,1,,,En
142,Guan et al. 2016,5,2000,13,2016,,,,,,,CRU TS3.21,,,Changes in Aridity in Response to Warming Hiatus,"The global warming trend slowdown or warming hiatus began around the year 2000 and has persisted for nearly 15 years. Most studies have focused on the interpretation underlying this temperature change. In this study, changes in the global aridity index (AI) were analyzed using a newly developed dynamical adjustment method that can successfully identify and separate dynamically induced and radiatively-forced aridity changes in the raw data. The AI and Palmer Drought Severity Index (PDSI) appeared a wetting zone over the mid-to-high latitudes of the Northern Hemisphere in recent decades. The dynamical adjustment analysis suggests that this wetting zone occurred in response to the global warming hiatus. The dynamically-induced AI (DAI) played a major role in the AI changes during the hiatus period, and its relationships with the North Atlantic Oscillation (NAO), Pacific Decadal Oscillation (PDO) and Atlantic Multi-decadal Oscillation (AMO) also indicate that different phases of the NAO, PDO, and AMO contributed to different performance of the DAI over the Northern Hemisphere. Although the aridity wetting over the mid-to-high latitudes may relieve long-term drying in certain regions, the hiatus is temporary, and so is the relief. Accelerated global warming will return when the NAO, PDO, and AMO revert to their opposite phases in the future, and the wetting zone is likely to disappear.","Xiaodan Guan, Jianping Huang, Ruixia Guo",2016,Journal of Meteorological Research,31,,117-125,21-04-16,23-09-16,10.1007/s13351-017-6038-1,http://www.cmsjournal.net:8080/Jweb_jmr/CN/article/downloadArticleFile.do?attachType=PDF&id=1703,,,1,1,En
143,"Tan, 2016a",5,1998,13,2015,,,,,,,NA,,,Circulation background of climate patterns in the past millennium: Uncertainty analysis and re-reconstruction of ENSO-like state,"The question of whether or not global warming has paused since more than ten years ago, namely ?warming hiatus?, has attracted the attention of climate science community including the IPCC. Some authors have attributed the ?warming hiatus? to the internal changes in the climate system, i.e., the recombination of ocean-atmosphere circulations. Therefore, it is necessary to propose higher requirements on reconstructing circulation background of climate change for the past millennium. However, the analyses of changes in atmospheric circulation over the last millennium as well as the conclusions of related regional climate patterns are so widely different and contradictory, bringing uncertainties to our understanding of regional even global climate change to a great extent. On the other hand, in the last 10 years the high-precision U/Th-dated stalagmite oxygen isotope ratio (Î18O) sequences provided an accurate chronological frame for the paleoclimate study of the middle and late Pleistocene, in which all authors from China took the Chinese stalagmite Î18O as the summer monsoon index without exception. However, this point of view misleads the climate scientists into thinking that the stalagmite Î18O can be as the proxy of precipitation amount. Nevertheless, it is well known that all of these records have a lot in common in the low frequency trend. However, most sequences cannot be calibrated by instrumental precipitation records, and thus the uncertainty of the climate research framework of China and even of the world has increased. Therefore, it is imperative for climatology to clarify the origin of contradiction and to reduce the uncertainty as early as possible. On the basis of analyzing the significance of stalagmite Î18O in the monsoon regions of China, the author tries to propose a new circulation proxy in this paper: integrating the Chinese stalagmite oxygen isotope sequence to reconstruct the tropical Pacific sea surface temperature gradient, i.e., the large-scale ENSO-like state over the past millennium. Furthermore, the author speculates that it was warm in the modern times and the Medieval Period, but the circulation recombination was different in both periods. And this inference could be supported by the longer record since Last Glacial Maximum. In other words, the attribution analysis of the identical low-frequency trends of Chinese stalagmite Î18O on a large scale shows that the ENSO-like state controls the climate change in the monsoon regions of China at different time scales (from interannual to century or even longer time scales). Wherein the important connection of circulations is the western Pacific subtropical high (WPSH), that is to say, besides the interannual and decadal time scales, the WPSH would possess the circulation mode on longer timescales. For example, we may discuss the change of the WPSH in the whole Holocene epoch, i.e., the half precession period. These discussions could make sense to the study of not only the paleoclimate but also the modern climate.",Ming Tan,2016,Science China Earth Sciences,59,6,1225-1241,24-12-15,18-03-16,10.1007/s11430-015-5256-6,http://rd.springer.com/article/10.1007/s11430-015-5256-6,1,1,,,En
144,Cheng et al. 2015,6,2001,13,2015,,,,,,,NA,,,Distinctive ocean interior changes during the recent warming slowdown,"The earth system experiences continuous heat input, but a ?climate hiatus? of upper ocean waters has been observed in this century. This leads to a question: where is the extra heat going? Using four in situ observation datasets, we explore the ocean subsurface temperature changes from 2004 to 2013. The observations all show that the ocean has continued to gain heat in this century, which is indicative of anthropogenic global warming. However, a distinctive pattern of change in the interior ocean is observed. The sea surface (1?100?m) temperature has decreased in this century, accompanied by warming in the 101?300?m layer. This pattern is due to the changes in the frequency of El Ni§o and La Ni§a events (ENSO characteristics), according to both observations and CMIP5 model simulations. In addition, we show for the first time that the ocean subsurface within 301?700?m experienced a net cooling, indicative of another instance of variability in the natural ocean. Furthermore, the ocean layer of 701?1500?m has experienced significant warming.","Lijing Cheng, Fei Zheng, Jiang Zhu",2015,Scientific Reports,5,,14346,12-03-15,23-09-15,10.1038/srep14346,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4585812/,,1,,,En
145,"Jochner & Menzel, 2015",6,2004,8,2013,,,,,,,local,,,Does flower phenology mirror the slowdown of global warming?,"Although recent global warming trends in air temperature are not as pronounced as those observed only one decade ago, global mean temperature is still at a very high level. Does plant phenology ? which is believed to be a suitable indicator of climate change ? respond in a similar way, that is, does it still mirror recent temperature variations? We explored in detail long-term flowering onset dates of snowdrop, cherry, and lime tree and relevant spring temperatures at three sites in Germany (1901?2012) using the Bayesian multiple change-point approach. We investigated whether mean spring temperature changes were amplified or slowed down in the past decade and how plant phenology responded to the most recent temperature changes. Incorporating records with different end points (i.e., 2002 and 2012), we compared differences in trends and inferred possible differences caused by extrapolating phenological and meteorological data. The new multiple-change point approach is characterized by an enhanced structure and greater flexibility compared to the one change point model. However, the highest model probabilities for phenological (meteorological) records were still obtained for the one change point (linear) model. Marked warming trends in the recent decade were only revealed for mean temperatures of March to May, here better described with one or two change point models. In the majority of cases analyzed, changes in temperatures were well mirrored by phenological changes. However, temperatures in March to May were linked to less strongly advancing onset dates for lime tree flowering during the period 1901-2012, pointing to the likely influence of photoperiodic constraints or unfulfilled chilling requirements. Due to the slowdown of temperature increase, analyses conducted on records ending in 2002 demonstrated distinct differences when compared with records ending in 2012. Extrapolation of trends could therefore (along with the choice of the statistical method) lead to distinctly different results and most recent data should be integrated in order not to over- or underestimate future phenological changes.","Susanne Jochner, Annette Menzel",2015,Ecology and Evolution,5,11,2284-2295,22-10-14,15-05-15,10.1002/ece3.1503,http://onlinelibrary.wiley.com/doi/10.1002/ece3.1503/full,,,1,,En
147,Ying et al. 2015,6,2001,8,2010,,,,,,,CRU 3.22,,,The recent hiatus in global warming of the land surface: scale-dependent breakpoint occurrences in space and time,"The spatial and temporal variability of the recent land warming hiatus have seldom been explored, despite their importance for understanding the mechanisms underlying the phenomenon. In this study, we applied piecewise linear regression to investigate the spatiotemporal patterns of the breakpoint time of warming over 40 years (1974?2013). Our results showed that at the global scale, mean annual temperature (MAT) over the land increased significantly until 2005 and that the warming trend then stalled. However, the breakpoint time of the warming varied greatly among different seasons and continents. We found no statistically significant breakpoint in MAT over the Northern Hemisphere, but MAT over the Southern Hemisphere showed a significant breakpoint (P < 0.001) in 1979. At the seasonal scale, only the winter season (Dec?Jan?Feb) showed a statistically significant breakpoint in global land temperature. The other seasons showed continuous increasing temperature during the whole study period. Our study examined the recent global warming hiatus on the land surface using an area-weighted summary of a scale-dependent phenomenon with substantial spatiotemporal heterogeneity, and revealed the winter cooling in the Northern Hemisphere low-mid latitudes in 1999-2008 as the major contributor to the global warming hiatus on land surface in 2005. This result highlights the importance of using a statistical method to identify the timing of climate phase change. A better understanding of the processes behind the spatiotemporal patterns of local-scale breakpoint occurrences in land surface temperature would shed new light on the mechanisms of the recent global warming hiatus.","Lingxiao Ying, Zehao Shen, Shilong Piao",2015,GRL,42,15,6471-6478,15-06-15,14-07-15,10.1002/2015GL064884,http://onlinelibrary.wiley.com/doi/10.1002/2015GL064884/abstract,1,1,,,En
148,Regayre et al. 2014,6,1999,13,2014,,,,,,,NA,,,Uncertainty in the magnitude of aerosol-cloud radiative forcing over recent decades,"Aerosols and their effect on the radiative properties of clouds are one of the largest sources of uncertainty in calculations of the Earth's energy budget. Here the sensitivity of aerosol-cloud albedo effect forcing to 31 aerosol parameters is quantified. Sensitivities are compared over three periods; 1850?2008, 1978?2008, and 1998?2008. Despite declining global anthropogenic SO2 emissions during 1978?2008, a cancelation of regional positive and negative forcings leads to a near-zero global mean cloud albedo effect forcing. In contrast to existing negative estimates, our results suggest that the aerosol-cloud albedo effect was likely positive (0.006 to 0.028Wm?2) in the recent decade, making it harder to explain the temperature hiatus as a forced response. Proportional contributions to forcing variance from aerosol processes and natural and anthropogenic emissions are found to be period dependent. To better constrain forcing estimates, the processes that dominate uncertainty on the timescale of interest must be better understood.","L. A. Regayre, K. J. Pringle, B. B. B. Booth, L. A. Lee, G. W. Mann, J. Browse, M. T. Woodhouse, A. Rap, C. L. Reddington, K. S. Carslaw",2014,GRL,41,24,9040?9049,26-09-14,16-12-14,10.1002/2014GL062029,http://onlinelibrary.wiley.com/doi/10.1002/2014GL062029/full,,1,,,En
150,"Liang & Yu, 2016",6,2001,13,2015,,,,,,,NA,,,Variations of the Global Net Air-Sea Heat Flux During the ?Hiatus? Period (2001?2010),"An assessment is made of the mean and variability of the net air-sea heat flux, Qnet, from four products (ECCO, OAFlux/CERES, ERA-Interim and NCEP1: acronyms defined in the introduction) over the global ice-free oceans from January 2001 to December 2010. For the 10-year ?hiatus? period, all products agree on an overall net heat gain over the global ice-free ocean, but the magnitude varies from 1.7 to 9.5 Wm?2. The differences among products are particularly large in the Southern Ocean, where they cannot even agree on whether the region gains or loses heat on the annual mean basis. Decadal trends of Qnet differ significantly between products. ECCO and OAFlux/CERES show almost no trend, whereas ERA-Interim suggests a downward trend and NCEP1 shows an upward trend. Therefore, numerical simulations utilizing different surface flux forcing products will likely produce diverged trends of the ocean heat content during this period. The downward trend in ERA-Interim started from 2006, driven by a peculiar pattern change in the tropical regions. ECCO, which used ERA-Interim as initial surface forcings and is constrained by ocean dynamics and ocean observations, corrected the pattern. Among the four products, ECCO and OAFlux/CERES show great similarities in the examined spatial and temporal patterns. Given that the two estimates were obtained using different approaches and based on largely independent observations, these similarities are encouraging and instructive. It is more likely that the global net air-sea heat flux does not change much during the ?hiatus? period.","Xinfeng Liang, Lisan Yu",2016,Journal of Climate,29,10,3647-3660,02-09-15,02-03-16,10.1175/JCLI-D-15-0626.1,http://journals.ametsoc.org/doi/abs/10.1175/JCLI-D-15-0626.1,1,,,,En
153,Wu et al. 2016,6,1995,14,2016,,,,,,,NA,,,Weakening of the Kuroshio Intrusion Into the South China Sea Under the Global Warming Hiatus,"We analyze a 22-year (1993-2014) record of the Kuroshio intrusion (KI) index defined from maps of mean absolute dynamic topography west of Luzon Island in the Philippines to investigate the long-term trend of the KI into the South China Sea (SCS). The monotonically increasing trend of the KI index extracted by empirical mode decomposition implies a slight decreasing trend of the meridional pressure gradient across the Luzon Strait, suggesting a weakening of the KI into the SCS based on the geostrophy. This weakening is largely due to an intensification of the upstream Kuroshio east of Luzon, which is closely correlated with the latitude of the North Equatorial Current (NEC) bifurcation off the Philippines. We also find that the latitude of the NEC bifurcation has tended to migrate southward in recent years, coincident with the strengthening of the Kuroshio east of Luzon. The forcing of the trends of low-latitude circulation is attributable to changing surface wind fields in the tropical Pacific. The trade winds have intensified in response to the recent global warming hiatus, and an anomalous cyclonic wind field has appeared over the Philippine Sea. Both of these phenomena have contributed to the southward migration of the NEC bifurcation latitude in recent years. This has led to enhance the Kuroshio transport east of Luzon, and the Kuroshio has tended to bypass the Luzon Strait without significant westward encroachment.","Chau-Ron Wu, You-Lin Wang, Yong-Fu Lin, Tzu-Ling Chiang, Chao-Chi Wu",2016,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,9,11,5064-5070,,10-08-16,10.1109/JSTARS.2016.2574941 ,http://ieeexplore.ieee.org/abstract/document/7539685/,,,1,,En
154,Vuille et al. 2015,6,1998,13,2015,,,,,,,local,,,Impact of the global warming hiatus on Andean temperature,"The recent hiatus in global warming is likely to be reflected in Andean temperature, given its close dependence on tropical Pacific sea surface temperature (SST). While recent work in the subtropical Andes has indeed documented a cooling along coastal areas, trends in the tropical Andes show continued warming. Here we analyze spatiotemporal temperature variability along the western side of the Andes with a dense station network updated to 2010 and investigate its linkages to tropical Pacific modes of variability. Results indicate that the warming in tropical latitudes has come to a halt and that the subtropical regions continue to experience cooling. Trends, however, are highly dependent on elevation. While coastal regions experience cooling, higher elevations continue to warm. The coastal cooling is consistent with the observed Pacific Decadal Oscillation (PDO) fingerprint and can be accurately simulated using a simple PDO-analog model. Much of the PDO imprint is modulated and transmitted through adjustments in coastal SST off western South America. At inland and higher-elevation locations, however, temperature trends start to diverge from this PDO-analog model in the late 1980s and have by now emerged above the 1Â model spread. Future warming at higher elevation is likely and will contribute to further vertical stratification of atmospheric temperature trends. In coastal locations, future warming or cooling will depend on the potential future intensification of the South Pacific anticyclone but also on continued temperature dependence on the state of the PDO.","Mathias Vuille, Eric Franquist, RenÇ Garreaud, Waldo Sven Lavado Casimiro, Bolivar C†ceres",2015,JGR,120,9,3745-3757,16-01-15,15-04-15,10.1002/2015JD023126,http://onlinelibrary.wiley.com/doi/10.1002/2015JD023126/full,,,1,,En
158,Notaro et al. 2015,6,2001,13,2015,,,,,,,local,,,"Regime shift in Arabian dust activity, triggered by persistent fertile crescent drought","The Arabian Peninsula has experienced pronounced interannual to decadal variability in dust activity, including an abrupt regime shift around 2006 from an inactive dust period during 1998?2005 to an active period during 2007?2013. Corresponding in time to the onset of this regime shift, the climate state transitioned into a combined La Ni§a and negative phase of the Pacific Decadal Oscillation, which incited a hiatus in global warming in the 2000s (Kosaka and Xie, 2013; Trenberth and Fasullo, 2013). Superimposed upon a long-term regional drying trend, synergistic interactions between these teleconnection modes triggered the establishment of a devastating and prolonged drought, which engulfed the Fertile Crescent, namely Iraq and Syria, and led to crop failure and civil unrest [Kelley et al., 2015]. Dried soils and diminished vegetation cover in the Fertile Crescent, as evident through remotely-sensed Enhanced Vegetation Indices, supported greater dust generation and transport to the Arabian Peninsula in 2007?2013, as identified both in increased dust days observed at weather stations and enhanced remotely-sensed aerosol optical depth. According to backward trajectory analysis of dust days on the Arabian Peninsula, increased dust lifting and atmospheric dust concentration in the Fertile Crescent during this recent, prolonged drought episode supported a greater frequency of dust events across the peninsula with associated northerly trajectories and led to the dust regime shift. These findings are particularly concerning, considering projections of warming and drying for the eastern Mediterranean region and potential collapse of the Fertile Crescent during this century [Kitoh et al., 2008].","Michael Notaro, Yan Yu, Olga V. Kalashnikova",2015,JGR,120,19,10229-10249,25-06-15,29-08-15,10.1002/2015JD023855,http://onlinelibrary.wiley.com/doi/10.1002/2015JD023855/full,,,1,,En
160,Zhu et al. 2016,6,1999,13,2015,,,,,,1,"NCEP/NCAR, JRA-55, ERA-40, ERA-Interim",,,Relative contribution of the anthropogenic forcing and natural variability to the interdecadal shift of climate during the late 1970s and 1990s,"Global warming accelerated after the late 1970s and slowed down after the late 1990s, accompanying the significant interdecadal changes in the regional climate. We hypothesized that the interdecadal changes linearly consisted of two independent components, anthropogenic forcing and natural decadal variability, which can be represented simply by the radiative forcing effect of carbon dioxide (RF CO 2  ) (RFCO2) and the Pacific Decadal Oscillation (PDO), respectively. The combined effect of the RF CO 2   RFCO2 and PDO could explain the majority of the surface temperature changes during the late 1970s and 1990s, but the magnitudes of the relative contribution of the RF CO 2 RFCO2 and the PDO are inconsistent in different regions. For both the surface temperature and geopotential height, the RF CO 2 RFCO2 could induce significantly positive anomalies over almost the entire globe for these two shifts, exhibiting a larger magnitude in the mid?high latitudes and in the late 1990s shift. The PDO could induce opposite anomalies for the two interdecadal shifts due to its phase transitions (negative-positive?negative). Furthermore, for the shift in the late 1970s, both the RF CO 2 RFCO2 (53.7 %?66.7 %) and the PDO (33.3 %?46.3 %) were important in regulating the tropical geopotential height, whereas the RF CO 2 RFCO2 dominated the changes in the mid-latitudes. For the western Pacific subtropical high, the RF CO 2 RFCO2 (PDO) could explain 52.3 %?62.1 % (37.9 %?47.7 %) of the change. The negative effect of the PDO counteracted most of the RF CO 2   RFCO2 effects for the late 1990s shift.","Yali Zhu, Tao Wang, Huijun Wang",2016,Science Bulletin,61,5,416-424,06-11-15,09-02-16,10.1007/s11434-016-1012-3,http://link.springer.com/article/10.1007/s11434-016-1012-3,,1,,,En
162,Meehl et al. 2016b,6,1999,13,2016,,,,,,,OISST,,,Antarctic sea-ice expansion between 2000 and 2014 driven by tropical Pacific decadal climate variability,"Antarctic sea-ice extent has been slowly increasing in the satellite record that began in 19791, 2. Since the late 1990s, the increase has accelerated, but the average of all climate models shows a decline3. Meanwhile, the Interdecadal Pacific Oscillation, an internally generated mode of climate variability4, transitioned from positive to negative5, with an average cooling of tropical Pacific sea surface temperatures5, a slowdown of the global warming trend6, 7, 8 and a deepening of the Amundsen Sea Low near Antarctica1, 9, 10, 11, 12 that has contributed to regional circulation changes in the Ross Sea region and expansion of sea ice10. Here we show that the negative phase of the Interdecadal Pacific Oscillation in global coupled climate models is characterized by anomalies similar to the observed sea-level pressure and near-surface 850?hPa wind changes near Antarctica since 2000 that are conducive to expanding Antarctic sea-ice extent, particularly in the Ross Sea region in all seasons, involving a deepening of the Amundsen Sea Low. These atmospheric circulation changes are shown to be mainly driven by precipitation and convective heating anomalies related to the Interdecadal Pacific Oscillation in the equatorial eastern Pacific, with additional contributions from convective heating anomalies in the South Pacific convergence zone and tropical Atlantic regions.","Gerald A. Meehl, Julie M. Arblaster, Cecilia M. Bitz, Christine T. Y. Chung, Haiyan Teng",2016,Nature geoscience,,,,26-02-16,04-07-16,10.1038/ngeo2751,http://www.nature.com/ngeo/journal/vaop/ncurrent/full/ngeo2751.html?WT.feed_name=subjects_astronomy-and-planetary-science,,,1,,En
164,"Visbeck, 2014",6,1999,"11,14",2014,,,,,,,NA,,,Bumpy path to a warmer world,"Decadal climate variability has long received limited attention. With the slow-down in surface warming since the late 1990s, the decadal scale has rightly become a focus of attention: for assessing climate change and its impacts, it is of critical importance.",Martin Visbeck,2014,Nature geoscience,7,3,160?161,,27-02-14,10.1038/ngeo2104,http://www.nature.com/ngeo/journal/v7/n3/full/ngeo2104.html,,,1,,En
166,Balmaseda et al. 2013,7,2001,13,2013,,,,,,,NA,,,Distinctive climate signals in reanalysis of global ocean heat content,"The elusive nature of the post-2004 upper ocean warming has exposed uncertainties in the ocean's role in the Earth's energy budget and transient climate sensitivity. Here we present the time evolution of the global ocean heat content for 1958 through 2009 from a new observation-based reanalysis of the ocean. Volcanic eruptions and El Ni§o events are identified as sharp cooling events punctuating a long-term ocean warming trend, while heating continues during the recent upper-ocean-warming hiatus, but the heat is absorbed in the deeper ocean. In the last decade, about 30% of the warming has occurred below 700 m, contributing significantly to an acceleration of the warming trend. The warming below 700 m remains even when the Argo observing system is withdrawn although the trends are reduced. Sensitivity experiments illustrate that surface wind variability is largely responsible for the changing ocean heat vertical distribution.","Magdalena A. Balmaseda, Kevin E. Trenberth, Erland KÑllÇn",2013,GRL,40,9,1754?1759,13-02-13,10-05-13,10.1002/grl.50382,http://onlinelibrary.wiley.com/doi/10.1002/grl.50382/full,,1,,,En
167,Johansson et al. 2015,7,2001,13,2014,,,,1,,,,,,Equilibrium climate sensitivity in light of observations over the warming hiatus,"A key uncertainty in projecting future climate change is the magnitude of equilibrium climate sensitivity (ECS), that is, the eventual increase in global annual average surface temperature in response to a doubling of atmospheric CO2 concentration. The lower bound of the likely range for ECS given in the IPCC Fifth Assessment Report (AR5; refs 1, 2) was revised downwards to 1.5 ¯C, from 2 ¯C in its previous report, mainly as an effect of considering observations over the warming hiatus?the period of slowdown of global average temperature increase since the early 2000s. Here we analyse how estimates of ECS change as observations accumulate over time and estimate the contribution of potential causes to the hiatus. We find that including observations over the hiatus reduces the most likely value for ECS from 2.8 ¯C to 2.5 ¯C, but that the lower bound of the 90% range remains stable around 2 ¯C. We also find that the hiatus is primarily attributable to El Ni§o/Southern Oscillation-related variability and reduced solar forcing.","Daniel J. A. Johansson, Brian C. O?Neill, Claudia Tebaldi, Olle HÑggstrîm",2015,NCC,5,,449?453,09-09-14,03-02-15,doi:10.1038/nclimate2573,http://www.nature.com/nclimate/journal/v5/n5/full/nclimate2573.html,,1,,1,En
169,Li et al. 2015d,7,1999,13,2014,,,,,,,"ERA-Interim, NCEP, NOAA SST, HadISST",,,Extratropical ocean warming and winter Arctic sea ice cover since the 1990s,"Despite the fact that the Arctic Oscillation (AO) has reached a more neutral state and a global-warming hiatus has occurred in winter since the late 1990s, the Arctic sea ice cover (ASIC) still shows a pronounced decrease. This study reveals a close connection (R = 0.5) between the extratropical sea surface temperature (ET-SST) and ASIC in winter from 1994 to 2013. In response to one positive (negative) unit of deviation in the ET-SST pattern, the ASIC decreases (increases) in the Barents?Kara Seas and Hudson Bay (the Baffin Bay and Bering Sea) by 100?400 km2. This relationship might be maintained due to the impact of warming extratropical oceans on the polar vortex. Positive SST anomalies in the mid-latitudes of the North Pacific and Atlantic (around 40¯N) strengthen the equatorward planetary wave propagation, whereas negative SST anomalies in high latitudes weaken the upward planetary wave propagation from the lower troposphere to the stratosphere. The former indicates a strengthening of the poleward meridional eddy momentum flux, and the latter implies a weakening of the poleward eddy heat flux, which favors an intensified upper-level polar night jet and a colder polar vortex, implying a stronger-than-normal polar vortex. Consequently, an anomalous cyclone emerges over the eastern Arctic, limiting/encouraging the ASIC by modulating the mean meridional heat flux. A possible reason for the long-term changes in the relationship between the ET-SST and ASIC is also discussed.","Fei Li, Huijun Wang, Yongqi Gao",2015,Journal of Climate,28,14,5510-5522,11-09-14,13-07-15,10.1175/JCLI-D-14-00629.1,http://journals.ametsoc.org/doi/abs/10.1175/JCLI-D-14-00629.1,1,,,,En
170,Zhou et al. 2016a,7,1999,13,2015,,,1,,,1,,,,On the detection of precipitation dependence on temperature,"Employing their newly proposed interannual difference method (IADM), Liu et al. (2009) and Shiu et al. (2012) reported a shocking increase of around 100% K?1 in heavy precipitation with warming global temperature in 1979?2007. Such increase is alarming and prompts us to probe into the IADM. In this study, both analytical derivations and numerical analyses demonstrate that IADM provides no additional information to that of the conventional linear regression, and also, it may give a false indication of dependence. For clarity and simplicity, we therefore recommend linear regression analysis over the IADM for the detection of dependence. We also find that heavy precipitation decreased during the global warming hiatus, and the precipitation dependence on temperature drops by almost 50% when the study period is extended to 1979?2014 and it may keep dropping in the near future. The risk of having heavy precipitation under warming global temperature may have been overestimated.","Yu Zhou, Ming Luo, Yee Leung",2016,GRL,43,9,4555-4565,27-12-15,11-05-16,10.1002/2016GL068811,http://onlinelibrary.wiley.com/doi/10.1002/2016GL068811/full,,,1,,En
172,You et al. 2015,7,2001,12,2012,,,,,,,local,,,Rapid warming in the Tibetan Plateau from observations and CMIP5 models in recent decades,"On the basis of mean temperature, maximum temperature and minimum temperature from the updated China Homogenized Historical Temperature Data Sets, the recent warming in the Tibetan Plateau (TP) during 1961?2005 and global warming hiatus period are examined. During 1961?2005, the mean temperature, maximum temperature and minimum temperature in the whole TP show a statistically increasing trend especially after the 1980s, with the annual rates of 0.27, 0.19 and 0.36 ¯C decade?1, respectively. The performance of 26 general circulation models (GCMs) available in the fifth phase of the Coupled Model Intercomparison Project (CMIP5) is evaluated in the TP by comparison with the observations during 1961?2005. Most CMIP5 GCMs can capture the decadal variations of the observed mean temperature, maximum temperature and minimum temperature, and have significant positive correlations with observations (R?>?0.5), with root mean squared error <1 ¯C. This suggests that CMIP5 GCMs can reproduce the recent temperature evolution in the TP, but with cold biases. However, most CMIP5 GCMs underestimate the observed warming rates, especially the CNRM-CM5, GISS-E2-H and MRI-CGCM3 models. There are significant positive correlations between the trend magnitudes and the anomaly of the mean temperature, maximum temperature and minimum temperature, with correlations of 0.85, 0.86 and 0.87, respectively. The warming from the observations and CMIP5 mean in the TP is significant during the global hiatus period, consistent with decreasing snow cover and albedo in the region. This study suggests that positive snow/ice-albedo feedback processes may account for ongoing surface warming in the TP despite the pause in global mean surface warming.","Qinglong You, Jinzhong Min, Shichang Kang",2015,International Journal of Climatology,36,6,2660-2670,13-03-15,02-10-15,10.1002/joc.4520,http://onlinelibrary.wiley.com/doi/10.1002/joc.4520/full,1,,,,En
